town,year,week,value
新竹縣寶山鄉,2015,2,14.0
新竹縣尖石鄉,2015,2,13.6
新竹縣峨眉鄉,2015,2,13.6
新竹縣新埔鎮,2015,2,11.83
新竹縣新豐鄉,2015,2,10.6
新竹縣橫山鄉,2015,2,12.67
新竹縣湖口鄉,2015,2,9.75
新竹縣竹北市,2015,2,12.8
新竹縣竹東鎮,2015,2,12.5
新竹縣芎林鄉,2015,2,12.0
新竹縣關西鎮,2015,2,12.69
桃園市中壢區,2015,2,19.33
桃園市八德區,2015,2,15.5
桃園市大園區,2015,2,14.0
桃園市大溪區,2015,2,14.55
桃園市平鎮區,2015,2,18.6
桃園市復興區,2015,2,15.0
桃園市新屋區,2015,2,12.0
桃園市桃園區,2015,2,12.75
桃園市楊梅區,2015,2,13.44
桃園市蘆竹區,2015,2,13.86
桃園市觀音區,2015,2,13.2
桃園市龍潭區,2015,2,11.38
桃園市龜山區,2015,2,13.6
臺中市北屯區,2015,2,18.0
臺中市南屯區,2015,2,21.67
臺中市后里區,2015,2,13.67
臺中市外埔區,2015,2,14.0
臺中市大安區,2015,2,16.33
臺中市大甲區,2015,2,14.6
臺中市大肚區,2015,2,19.25
臺中市大里區,2015,2,24.8
臺中市大雅區,2015,2,19.25
臺中市太平區,2015,2,21.75
臺中市新社區,2015,2,16.0
臺中市東勢區,2015,2,14.86
臺中市東區,2015,2,23.0
臺中市梧棲區,2015,2,17.67
臺中市沙鹿區,2015,2,17.5
臺中市清水區,2015,2,17.22
臺中市潭子區,2015,2,17.5
臺中市烏日區,2015,2,22.33
臺中市石岡區,2015,2,14.0
臺中市神岡區,2015,2,16.0
臺中市西區,2015,2,23.0
臺中市西屯區,2015,2,20.0
臺中市豐原區,2015,2,14.0
臺中市霧峰區,2015,2,22.62
臺中市龍井區,2015,2,17.5
臺北市中山區,2015,2,25.0
臺北市中正區,2015,2,20.0
臺北市信義區,2015,2,19.0
臺北市內湖區,2015,2,18.5
臺北市北投區,2015,2,12.0
臺北市南港區,2015,2,18.5
臺北市士林區,2015,2,13.5
臺北市文山區,2015,2,16.0
臺北市松山區,2015,2,21.0
臺北市萬華區,2015,2,22.0
臺南市七股區,2015,2,17.79
臺南市下營區,2015,2,17.0
臺南市中西區,2015,2,19.0
臺南市仁德區,2015,2,20.17
臺南市佳里區,2015,2,17.0
臺南市六甲區,2015,2,17.0
臺南市北區,2015,2,20.0
臺南市北門區,2015,2,16.75
臺南市南化區,2015,2,17.4
臺南市南區,2015,2,20.0
臺南市善化區,2015,2,16.0
臺南市大內區,2015,2,16.67
臺南市學甲區,2015,2,17.0
臺南市安南區,2015,2,17.7
臺南市安定區,2015,2,16.67
臺南市官田區,2015,2,16.5
臺南市將軍區,2015,2,17.2
臺南市山上區,2015,2,16.5
臺南市左鎮區,2015,2,17.57
臺南市後壁區,2015,2,17.0
臺南市新化區,2015,2,17.25
臺南市新市區,2015,2,16.17
臺南市新營區,2015,2,17.0
臺南市東區,2015,2,20.0
臺南市東山區,2015,2,17.4
臺南市柳營區,2015,2,17.0
臺南市楠西區,2015,2,17.55
臺南市歸仁區,2015,2,19.8
臺南市永康區,2015,2,18.5
臺南市玉井區,2015,2,17.0
臺南市白河區,2015,2,18.77
臺南市西港區,2015,2,17.0
臺南市關廟區,2015,2,19.6
臺南市鹽水區,2015,2,17.0
臺南市麻豆區,2015,2,16.5
臺南市龍崎區,2015,2,18.67
臺東縣卑南鄉,2015,2,8.09
臺東縣大武鄉,2015,2,17.6
臺東縣太麻里鄉,2015,2,13.38
臺東縣延平鄉,2015,2,6.86
臺東縣成功鎮,2015,2,5.2
臺東縣東河鄉,2015,2,5.29
臺東縣池上鄉,2015,2,5.0
臺東縣海端鄉,2015,2,5.0
臺東縣綠島鄉,2015,2,6.0
臺東縣臺東市,2015,2,6.45
臺東縣蘭嶼鄉,2015,2,4.0
臺東縣達仁鄉,2015,2,17.5
臺東縣金峰鄉,2015,2,16.55
臺東縣長濱鄉,2015,2,7.67
臺東縣關山鎮,2015,2,5.0
臺東縣鹿野鄉,2015,2,5.33
花蓮縣光復鄉,2015,2,13.67
花蓮縣卓溪鄉,2015,2,8.54
花蓮縣吉安鄉,2015,2,13.0
花蓮縣壽豐鄉,2015,2,13.0
花蓮縣富里鄉,2015,2,5.83
花蓮縣新城鄉,2015,2,13.0
花蓮縣玉里鎮,2015,2,8.64
花蓮縣瑞穗鄉,2015,2,11.85
花蓮縣秀林鄉,2015,2,13.19
花蓮縣花蓮市,2015,2,13.0
花蓮縣萬榮鄉,2015,2,13.9
花蓮縣豐濱鄉,2015,2,12.12
花蓮縣鳳林鎮,2015,2,13.2
苗栗縣三灣鄉,2015,2,15.5
苗栗縣三義鄉,2015,2,10.0
苗栗縣公館鄉,2015,2,16.71
苗栗縣卓蘭鎮,2015,2,12.6
苗栗縣南庄鄉,2015,2,14.88
苗栗縣大湖鄉,2015,2,12.0
苗栗縣後龍鎮,2015,2,17.22
苗栗縣泰安鄉,2015,2,15.0
苗栗縣獅潭鄉,2015,2,16.14
苗栗縣竹南鎮,2015,2,16.0
苗栗縣苑裡鎮,2015,2,11.8
苗栗縣苗栗市,2015,2,18.0
苗栗縣西湖鄉,2015,2,17.75
苗栗縣通霄鎮,2015,2,14.09
苗栗縣造橋鄉,2015,2,16.8
苗栗縣銅鑼鄉,2015,2,12.62
苗栗縣頭份市,2015,2,15.86
苗栗縣頭屋鄉,2015,2,17.75
雲林縣二崙鄉,2015,2,15.4
雲林縣元長鄉,2015,2,13.8
雲林縣北港鎮,2015,2,13.0
雲林縣口湖鄉,2015,2,13.22
雲林縣古坑鄉,2015,2,20.77
雲林縣四湖鄉,2015,2,11.56
雲林縣土庫鎮,2015,2,14.8
雲林縣大埤鄉,2015,2,16.33
雲林縣崙背鄉,2015,2,15.0
雲林縣斗六市,2015,2,21.6
雲林縣斗南鎮,2015,2,19.2
雲林縣東勢鄉,2015,2,11.8
雲林縣林內鄉,2015,2,19.25
雲林縣水林鄉,2015,2,13.25
雲林縣臺西鄉,2015,2,11.17
雲林縣莿桐鄉,2015,2,21.0
雲林縣虎尾鎮,2015,2,17.43
雲林縣褒忠鄉,2015,2,14.0
雲林縣西螺鎮,2015,2,17.5
雲林縣麥寮鄉,2015,2,12.58
高雄市三民區,2015,2,26.0
高雄市仁武區,2015,2,27.33
高雄市內門區,2015,2,15.88
高雄市六龜區,2015,2,15.77
高雄市前金區,2015,2,23.0
高雄市前鎮區,2015,2,27.67
高雄市大寮區,2015,2,25.43
高雄市大樹區,2015,2,23.0
高雄市大社區,2015,2,24.5
高雄市小港區,2015,2,28.2
高雄市岡山區,2015,2,22.8
高雄市左營區,2015,2,23.0
高雄市彌陀區,2015,2,23.0
高雄市旗山區,2015,2,15.09
高雄市旗津區,2015,2,27.0
高雄市杉林區,2015,2,15.2
高雄市林園區,2015,2,22.67
高雄市桃源區,2015,2,17.0
高雄市梓官區,2015,2,23.0
高雄市楠梓區,2015,2,23.25
高雄市橋頭區,2015,2,22.0
高雄市永安區,2015,2,22.67
高雄市湖內區,2015,2,20.5
高雄市燕巢區,2015,2,23.0
高雄市田寮區,2015,2,21.0
高雄市甲仙區,2015,2,17.14
高雄市美濃區,2015,2,12.7
高雄市苓雅區,2015,2,26.0
高雄市茂林區,2015,2,17.0
高雄市茄萣區,2015,2,21.0
高雄市路竹區,2015,2,22.0
高雄市阿蓮區,2015,2,22.5
高雄市鳥松區,2015,2,26.33
高雄市鳳山區,2015,2,28.0
高雄市鼓山區,2015,2,23.0
南投縣中寮鄉,2015,3,19.83
南投縣仁愛鄉,2015,3,15.0
南投縣信義鄉,2015,3,17.0
南投縣南投市,2015,3,21.57
南投縣名間鄉,2015,3,20.0
南投縣國姓鄉,2015,3,16.42
南投縣埔里鎮,2015,3,14.86
南投縣水里鄉,2015,3,17.5
南投縣竹山鎮,2015,3,18.0
南投縣草屯鎮,2015,3,20.0
南投縣集集鎮,2015,3,18.67
南投縣魚池鄉,2015,3,15.86
南投縣鹿谷鄉,2015,3,18.1
嘉義市東區,2015,3,21.5
嘉義市西區,2015,3,21.75
嘉義縣中埔鄉,2015,3,20.0
嘉義縣六腳鄉,2015,3,13.67
嘉義縣大埔鄉,2015,3,18.53
嘉義縣大林鎮,2015,3,17.67
嘉義縣太保市,2015,3,16.29
嘉義縣布袋鎮,2015,3,15.17
嘉義縣新港鄉,2015,3,14.17
嘉義縣朴子市,2015,3,13.25
嘉義縣東石鄉,2015,3,14.0
嘉義縣梅山鄉,2015,3,18.83
嘉義縣民雄鄉,2015,3,18.0
嘉義縣水上鄉,2015,3,20.4
嘉義縣溪口鄉,2015,3,15.5
嘉義縣番路鄉,2015,3,19.38
嘉義縣竹崎鄉,2015,3,19.5
嘉義縣義竹鄉,2015,3,16.11
嘉義縣鹿草鄉,2015,3,15.5
基隆市七堵區,2015,3,15.17
基隆市仁愛區,2015,3,10.0
基隆市信義區,2015,3,10.0
基隆市安樂區,2015,3,9.0
基隆市暖暖區,2015,3,12.0
宜蘭縣三星鄉,2015,3,11.0
宜蘭縣五結鄉,2015,3,10.25
